Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real,mes_num,precio_lag2,precio_ma3,ma3,ma6,ma12,arriendo,costos_indirectos,empaques,enmiendas,fertilizantes,mano_obra,mipe,semilla,maquinaria,transporte,costo_total
2023,Enero,26748.6999664,1890.910791015625,1776.8600463867188,2023-01-01,2023-01-01,26.18,154.23383355745446,1226.0025880192052,1,1632.2319030761719,1766.6675801595054,1766.6675801595054,1384.2981302897135,1523.1121559143066,27.654722,2320000.0,11.3236995,0.09703585144927,12.476975111472704,14.165047619047298,0.0,8.391854168701173,2.584523629953098,5.0,84.01385788062353
2023,Febrero,27391.0499532,1606.603515625,1890.910791015625,2023-02-01,2023-02-01,24.14,157.03831682535153,1023.0646558774358,2,1776.8600463867188,1758.124784342448,1758.124784342448,1521.2113484700521,1442.1944821675618,27.654722,2320000.0,11.3236995,0.10013638888893,14.24800024248589,14.165047619047298,0.0,6.967800607681275,2.584523629953098,5.0,84.3639299880565
2023,Marzo,29632.6500286,1420.7467041015625,1606.603515625,2023-03-01,2023-03-01,21.81,159.6415283868909,889.9606001380706,3,1890.910791015625,1639.4203369140625,1639.4203369140625,1601.6663299560548,1357.9864285786946,27.654722,2320000.0,11.379787875,0.10479376388893619,12.086004275307367,15.067722222220727,0.0,6.277253614425659,2.584523629953098,5.0,82.4748073807958
2023,Abril,23981.749975400002,1190.0830078125,1420.7467041015625,2023-04-01,2023-04-01,18.47,161.91232509185286,735.0169340952679,4,1606.603515625,1405.8110758463542,1405.8110758463542,1586.2393280029298,1281.7989306132,28.7040555,2320000.0,11.379787875,0.10526681372542854,11.891999411631293,15.067722222220727,0.0,5.384674037933349,2.681275783475811,5.0,82.53478164398662
2023,Mayo,25406.9999994,1399.0231323242188,1190.0830078125,2023-05-01,2023-05-01,15.66,163.88725269319076,853.6497557520811,5,1420.7467041015625,1336.6176147460938,1336.6176147460938,1547.371199544271,1308.5320709228515,28.7040555,2320000.0,11.3223521875,0.10889797101447132,13.158681653025088,15.067722222220727,0.0,6.290745683670044,2.681275783475811,5.0,84.65373100090613
2023,Junio,28336.44996722,1107.4383544921875,1399.0231323242188,2023-06-01,2023-06-01,14.31,165.7240457909395,668.2424081591747,6,1190.0830078125,1232.1814982096355,1232.1814982096355,1435.800917561849,1323.548026529948,28.7040555,2320000.0,11.3223521875,0.10789152564101617,11.15458004673521,15.600780952380951,0.0,4.8497193803787235,2.681275783475811,5.0,81.74065537611172
2023,Julio,25782.4000338,925.6201171875,1107.4383544921875,2023-07-01,2023-07-01,13.24,167.45014020138566,552.7735695379491,7,1399.0231323242188,1144.0272013346355,1144.0272013346355,1274.9191385904949,1329.6086344401042,28.610277875,2320000.0,11.1832439375,0.109051919166642,11.892508850381379,15.600780952380951,0.0,4.082846793365478,2.7033465201462943,5.0,81.50205684794074
2023,Agosto,26836.050017,1095.0416564941406,925.6201171875,2023-08-01,2023-08-01,12.44,169.0942806746538,647.5923680713116,8,1107.4383544921875,1042.7000427246094,1042.7000427246094,1189.6588287353516,1355.4350886027019,28.610277875,2320000.0,11.1832439375,0.10999130952380953,11.504398234403011,15.600780952380951,0.0,4.771459104537964,2.7033465201462943,5.0,81.80349793349203
2023,Septiembre,24224.5999972,1230.1700744628906,1095.0416564941406,2023-09-01,2023-09-01,11.47,170.63132059812142,720.9520914159966,9,925.6201171875,1083.610616048177,1083.610616048177,1157.8960571289062,1379.7811935424804,28.610277875,2320000.0,11.10979725,0.11060628205126309,11.00729748224869,15.873185714285393,0.0,5.421814753532409,2.7033465201462943,5.0,82.15632587726405
2023,Octubre,26786.24995938,1636.3641357421875,1230.1700744628906,2023-10-01,2023-10-01,10.36,172.03879539439032,951.1599590027963,10,1095.0416564941406,1320.5252888997395,1320.5252888997395,1232.2762451171875,1409.2577865600585,28.88777775,2320000.0,11.10979725,0.10907169282048816,9.48002384559556,15.873185714285393,0.0,7.361287234497071,2.711712332112257,5.0,82.85285581931078
2023,Noviembre,28101.0000009,1631.4696044921875,1636.3641357421875,2023-11-01,2023-11-01,8.25,173.1790628193278,942.0709281665577,11,1230.1700744628906,1499.3346048990886,1499.3346048990886,1271.0173238118489,1409.1942616780598,28.88777775,2320000.0,11.1704279375,0.11036545000000002,10.197708667460486,15.873185714285393,0.0,6.611346196174622,2.711712332112257,5.0,82.88252404753275
2023,Diciembre,28983.3500133,1495.5137939453125,1631.4696044921875,2023-12-01,2023-12-01,5.0,173.88461575798996,860.0610165690256,12,1636.3641357421875,1587.7825113932292,1587.7825113932292,1335.6965637207031,1385.7487406412758,28.88777775,2320000.0,11.1704279375,0.11337970085463603,10.26932230640361,16.174433333333013,0.0,6.018546240234375,2.711712332112257,5.0,82.66559960043789
2024,Enero,27643.20000332,1479.1990966796875,1495.5137939453125,2024-01-01,2024-01-01,2.96,174.30781991298738,848.61315884628,1,1631.4696044921875,1535.3941650390625,1535.3941650390625,1427.9597269694011,1351.439432779948,31.8991665,2600000.0,11.0734163125,0.11304508012819565,8.910174640542936,16.174433333333013,0.0,5.657263522338867,2.816931746028529,5.0,84.24443113487153
