Año,mes,Toneladas,precio_promedio,precio_lag1,fecha,fecha_merge,ipc_alimentos,indice,precio_real
2025,Febrero,19728.5499924,1174.059829711914,1316.339697265625,2025-02-01,2025-02-01,4.56,180.70703587649896,649.7034407195438
2025,Marzo,18561.849996,1447.0641845703126,1174.059829711914,2025-03-01,2025-03-01,4.67,181.3956692653422,797.7391028302743
2025,Abril,18527.5500002,1735.5377197265625,1447.0641845703126,2025-04-01,2025-04-01,4.61,182.0782264501452,953.182460947229
2025,Mayo,20906.0000009,1260.3309631347656,1735.5377197265625,2025-05-01,2025-05-01,4.71,182.7779046966386,689.5422973726343
2025,Junio,22462.7000572,842.9754638671875,1260.3309631347656,2025-06-01,2025-06-01,4.31,183.4217600785364,459.58312879902985
2025,Julio,25481.8000148,781.9131469726562,842.9754638671875,2025-07-01,2025-07-01,4.94,184.1602707815491,424.5829698524725
2025,Agosto,23978.6499856,623.0187744140625,781.9131469726562,2025-08-01,2025-08-01,6.13,185.07558261437893,336.6293735852645
2025,Septiembre,21989.7500423,578.5125732421875,623.0187744140625,2025-09-01,2025-09-01,6.21,186.00712318566423,311.0163542848525
2025,Octubre,27194.3500174,565.2350540161133,578.5125732421875,2025-10-01,2025-10-01,6.64,187.00630705148697,302.2545404634356
2025,Noviembre,24091.499975,787.1421875,565.2350540161133,2025-11-01,2025-11-01,5.74,187.87811583796312,418.9642758493898
2025,Diciembre,27685.5499884,893.2109985351562,787.1421875,2025-12-01,2025-12-01,5.07,188.65403153468066,473.4650997219508
